ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source,Contribution_ID
mixe1284,summary,,Yes,summary,,mixe1284,glottolog_glottolog,mixe1284
chib1249,summary,,Yes,summary,,chib1249,glottolog_glottolog,chib1249
turk1311,summary,,Yes,summary,,turk1311,glottolog_glottolog,turk1311
saha1256,summary,,Yes,summary,,saha1256,glottolog_glottolog,saha1256
surm1244,summary,,Yes,summary,,surm1244,glottolog_glottolog,surm1244
waka1280,summary,,Yes,summary,,waka1280,glottolog_glottolog,waka1280
tang1340,summary,,Yes,summary,,tang1340,glottolog_glottolog,tang1340
kadu1256,summary,,Yes,summary,,kadu1256,glottolog_glottolog,kadu1256
boro1281,summary,,Yes,summary,,boro1281,glottolog_glottolog,boro1281
song1307,summary,,Yes,summary,,song1307,glottolog_glottolog,song1307
tupi1275,summary,,Yes,summary,,tupi1275,glottolog_glottolog,tupi1275
cari1283,summary,,Yes,summary,,cari1283,glottolog_glottolog,cari1283
indo1319,summary,,Yes,summary,,indo1319,glottolog_glottolog,indo1319
maya1287,summary,,Yes,summary,,maya1287,glottolog_glottolog,maya1287
krua1234,summary,,Yes,summary,,krua1234,glottolog_glottolog,krua1234
jarr1235,summary,,Yes,summary,,jarr1235,glottolog_glottolog,jarr1235
nduu1242,summary,,Yes,summary,,nduu1242,glottolog_glottolog,nduu1242
guai1249,summary,,Yes,summary,,guai1249,glottolog_glottolog,guai1249
nucl1708,summary,,Yes,summary,,nucl1708,glottolog_glottolog,nucl1708
yoku1255,summary,,Yes,summary,,yoku1255,glottolog_glottolog,yoku1255
ayma1253,summary,,Yes,summary,,ayma1253,glottolog_glottolog,ayma1253
afro1255,summary,,Yes,summary,,afro1255,glottolog_glottolog,afro1255
mand1469,summary,,Yes,summary,,mand1469,glottolog_glottolog,mand1469
miwo1274,summary,,Yes,summary,,miwo1274,glottolog_glottolog,miwo1274
saha1239,summary,,Yes,summary,,saha1239,glottolog_glottolog,saha1239
wint1258,summary,,Yes,summary,,wint1258,glottolog_glottolog,wint1258
worr1236,summary,,Yes,summary,,worr1236,glottolog_glottolog,worr1236
cent2225,summary,,Yes,summary,,cent2225,glottolog_glottolog,cent2225
pama1250,summary,,Yes,summary,,pama1250,glottolog_glottolog,pama1250
hmon1336,summary,,Yes,summary,,hmon1336,glottolog_glottolog,hmon1336
utoa1244,summary,,Yes,summary,,utoa1244,glottolog_glottolog,utoa1244
chin1490,summary,,Yes,summary,,chin1490,glottolog_glottolog,chin1490
tung1282,summary,,Yes,summary,,tung1282,glottolog_glottolog,tung1282
sali1255,summary,,Yes,summary,,sali1255,glottolog_glottolog,sali1255
khoe1240,summary,,Yes,summary,,khoe1240,glottolog_glottolog,khoe1240
eski1264,summary,,Yes,summary,,eski1264,glottolog_glottolog,eski1264
japo1237,summary,,Yes,summary,,japo1237,glottolog_glottolog,japo1237
araw1281,summary,,Yes,summary,,araw1281,glottolog_glottolog,araw1281
algi1248,summary,,Yes,summary,,algi1248,glottolog_glottolog,algi1248
cadd1255,summary,,Yes,summary,,cadd1255,glottolog_glottolog,cadd1255
mata1289,summary,,Yes,summary,,mata1289,glottolog_glottolog,mata1289
maid1262,summary,,Yes,summary,,maid1262,glottolog_glottolog,maid1262
siou1252,summary,,Yes,summary,,siou1252,glottolog_glottolog,siou1252
kxaa1236,summary,,Yes,summary,,kxaa1236,glottolog_glottolog,kxaa1236
pomo1273,summary,,Yes,summary,,pomo1273,glottolog_glottolog,pomo1273
atha1245,summary,,Yes,summary,,atha1245,glottolog_glottolog,atha1245
tuca1253,summary,,Yes,summary,,tuca1253,glottolog_glottolog,tuca1253
otom1299,summary,,Yes,summary,,otom1299,glottolog_glottolog,otom1299
gunw1250,summary,,Yes,summary,,gunw1250,glottolog_glottolog,gunw1250
heib1242,summary,,Yes,summary,,heib1242,glottolog_glottolog,heib1242
chon1288,summary,,Yes,summary,,chon1288,glottolog_glottolog,chon1288
sout2845,summary,,Yes,summary,,sout2845,glottolog_glottolog,sout2845
pano1259,summary,,Yes,summary,,pano1259,glottolog_glottolog,pano1259
nubi1251,summary,,Yes,summary,,nubi1251,glottolog_glottolog,nubi1251
yano1268,summary,,Yes,summary,,yano1268,glottolog_glottolog,yano1268
nucl1709,summary,,Yes,summary,,nucl1709,glottolog_glottolog,nucl1709
aust1307,summary,,Yes,summary,,aust1307,glottolog_glottolog,aust1307
koia1260,summary,,Yes,summary,,koia1260,glottolog_glottolog,koia1260
ural1272,summary,,Yes,summary,,ural1272,glottolog_glottolog,ural1272
haid1248,summary,,Yes,summary,,haid1248,glottolog_glottolog,haid1248
kwer1242,summary,,Yes,summary,,kwer1242,glottolog_glottolog,kwer1242
yuki1242,summary,,Yes,summary,,yuki1242,glottolog_glottolog,yuki1242
nilo1247,summary,,Yes,summary,,nilo1247,glottolog_glottolog,nilo1247
dizo1235,summary,,Yes,summary,,dizo1235,glottolog_glottolog,dizo1235
atla1278,summary,,Yes,summary,,atla1278,glottolog_glottolog,atla1278
quec1387,summary,,Yes,summary,,quec1387,glottolog_glottolog,quec1387
pala1350,summary,,Yes,summary,,pala1350,glottolog_glottolog,pala1350
sino1245,summary,,Yes,summary,,sino1245,glottolog_glottolog,sino1245
chuk1271,summary,,Yes,summary,,chuk1271,glottolog_glottolog,chuk1271
gong1255,summary,,Yes,summary,,gong1255,glottolog_glottolog,gong1255
jara1244,summary,,Yes,summary,,jara1244,glottolog_glottolog,jara1244
taik1256,summary,,Yes,summary,,taik1256,glottolog_glottolog,taik1256
iroq1247,summary,,Yes,summary,,iroq1247,glottolog_glottolog,iroq1247
abkh1242,summary,,Yes,summary,,abkh1242,glottolog_glottolog,abkh1242
kiow1265,summary,,Yes,summary,,kiow1265,glottolog_glottolog,kiow1265
tsim1258,summary,,Yes,summary,,tsim1258,glottolog_glottolog,tsim1258
nucl1710,summary,,Yes,summary,,nucl1710,glottolog_glottolog,nucl1710
kart1248,summary,,Yes,summary,,kart1248,glottolog_glottolog,kart1248
tuuu1241,summary,,Yes,summary,,tuuu1241,glottolog_glottolog,tuuu1241
musk1252,summary,,Yes,summary,,musk1252,glottolog_glottolog,musk1252
coch1271,summary,,Yes,summary,,coch1271,glottolog_glottolog,coch1271
drav1251,summary,,Yes,summary,,drav1251,glottolog_glottolog,drav1251
kere1287,summary,,Yes,summary,,kere1287,glottolog_glottolog,kere1287
mong1349,summary,,Yes,summary,,mong1349,glottolog_glottolog,mong1349
aust1305,summary,,Yes,summary,,aust1305,glottolog_glottolog,aust1305
atkinson2006,summary,,Yes,summary,,atkinson2006,dplace-phylogeny-atkinson2006,dplace-phylogeny-atkinson2006
birchall_et_al2016,summary,,Yes,summary,,birchall_et_al2016,dplace-phylogeny-birchall_et_al2016,dplace-phylogeny-birchall_et_al2016
bouckaert_et_al2012,summary,,Yes,summary,,bouckaert_et_al2012,dplace-phylogeny-bouckaert_et_al2012,dplace-phylogeny-bouckaert_et_al2012
bouckaert_et_al2018,summary,,Yes,summary,,bouckaert_et_al2018,dplace-phylogeny-bouckaert_et_al2018,dplace-phylogeny-bouckaert_et_al2018
bowern_and_atkinson2012,summary,,Yes,summary,,bowern_and_atkinson2012,dplace-phylogeny-bowern_and_atkinson2012,dplace-phylogeny-bowern_and_atkinson2012
chacon_and_list2015,summary,,Yes,summary,,chacon_and_list2015,dplace-phylogeny-chacon_and_list2015,dplace-phylogeny-chacon_and_list2015
chang_et_al2015,summary,,Yes,summary,,chang_et_al2015,dplace-phylogeny-chang_et_al2015,dplace-phylogeny-chang_et_al2015
defilippo_et_al2012,summary,,Yes,summary,,defilippo_et_al2012,dplace-phylogeny-defilippo_et_al2012,dplace-phylogeny-defilippo_et_al2012
dunn_et_al2011,summary,,Yes,summary,,dunn_et_al2011,dplace-phylogeny-dunn_et_al2011,dplace-phylogeny-dunn_et_al2011
gray_et_al2009,summary,,Yes,summary,,gray_et_al2009,dplace-phylogeny-gray_et_al2009,dplace-phylogeny-gray_et_al2009
greenhill2015,summary,,Yes,summary,,greenhill2015,dplace-phylogeny-greenhill2015,dplace-phylogeny-greenhill2015
grollemund_et_al2015,summary,,Yes,summary,,grollemund_et_al2015,dplace-phylogeny-grollemund_et_al2015,dplace-phylogeny-grollemund_et_al2015
honkola_et_al2013,summary,,Yes,summary,,honkola_et_al2013,dplace-phylogeny-honkola_et_al2013,dplace-phylogeny-honkola_et_al2013
hruschka_et_al2015,summary,,Yes,summary,,hruschka_et_al2015,dplace-phylogeny-hruschka_et_al2015,dplace-phylogeny-hruschka_et_al2015
kitchen_et_al2009,summary,,Yes,summary,,kitchen_et_al2009,dplace-phylogeny-kitchen_et_al2009,dplace-phylogeny-kitchen_et_al2009
kolipakam_et_al2018,summary,,Yes,summary,,kolipakam_et_al2018,dplace-phylogeny-kolipakam_et_al2018,dplace-phylogeny-kolipakam_et_al2018
lee2015,summary,,Yes,summary,,lee2015,dplace-phylogeny-lee2015,dplace-phylogeny-lee2015
lee_and_hasegawa2011,summary,,Yes,summary,,lee_and_hasegawa2011,dplace-phylogeny-lee_and_hasegawa2011,dplace-phylogeny-lee_and_hasegawa2011
lee_and_hasegawa2013,summary,,Yes,summary,,lee_and_hasegawa2013,dplace-phylogeny-lee_and_hasegawa2013,dplace-phylogeny-lee_and_hasegawa2013
robinson_and_holton2012,summary,,Yes,summary,,robinson_and_holton2012,dplace-phylogeny-robinson_and_holton2012,dplace-phylogeny-robinson_and_holton2012
sagart_et_al2019,summary,,Yes,summary,,sagart_et_al2019,dplace-phylogeny-sagart_et_al2019,dplace-phylogeny-sagart_et_al2019
sicoli_and_holton2014,summary,,Yes,summary,,sicoli_and_holton2014,dplace-phylogeny-sicoli_and_holton2014,dplace-phylogeny-sicoli_and_holton2014
walker_and_ribeiro2011,summary,,Yes,summary,,walker_and_ribeiro2011,dplace-phylogeny-walker_and_ribeiro2011,dplace-phylogeny-walker_and_ribeiro2011
zhang_et_al2019,summary,,Yes,summary,,zhang_et_al2019,dplace-phylogeny-zhang_et_al2019,dplace-phylogeny-zhang_et_al2019
